product_id,address,price,area,bedrooms_num,bathrooms_num
41734217,"·
Văn Giang, Hưng Yên","7,9 tỷ",63 m²,6,5
41726769,"·
Hà Đông, Hà Nội","26,5 tỷ",170 m²,5,6
42089469,"·
Sơn Trà, Đà Nẵng","4,77 tỷ","88,3 m²",3,2
42130263,"·
Hai Bà Trưng, Hà Nội","10,6 tỷ",104 m²,3,2
41995202,"·
Hà Đông, Hà Nội",Giá thỏa thuận,98 m²,0,0
42130037,"·
Bình Tân, Hồ Chí Minh","3,3 tỷ",75 m²,2,2
42130020,"·
Dĩ An, Bình Dương",Giá thỏa thuận,46 m²,1,1
42084875,"·
Dĩ An, Bình Dương",Giá thỏa thuận,"40,84 m²",1,1
42129459,"·
Gia Lâm, Hà Nội",Giá thỏa thuận,"28,9 m²",1,1
41885004,"·
Hà Đông, Hà Nội",Giá thỏa thuận,120 m²,0,0
41959594,"·
Hà Đông, Hà Nội",14 tỷ,100 m²,0,0
30267738,"·
Quận 2, Hồ Chí Minh",Giá thỏa thuận,70 m²,2,0
42128798,"·
Văn Giang, Hưng Yên","11,7 tỷ",105 m²,8,4
41392571,"·
Đông Anh, Hà Nội",15 tỷ,"62,5 m²",0,0
41646865,"·
Cam Ranh, Khánh Hòa","5,9 tỷ",120 m²,3,3
42037887,"·
Văn Giang, Hưng Yên","10,7 tỷ",70 m²,0,0
41998017,"·
Bắc Từ Liêm, Hà Nội","13,7 tỷ",48 m²,6,6
42125823,"·
Bình Tân, Hồ Chí Minh",6 tỷ,58 m²,5,6
42125653,"·
Hà Đông, Hà Nội",Giá thỏa thuận,114 m²,0,0
42116041,"·
Hà Đông, Hà Nội","39,88 tỷ",145 m²,3,5
42125368,"·
Sơn Trà, Đà Nẵng","15,34 tỷ",108 m²,5,6
39511915,"·
Quận 10, Hồ Chí Minh","11,5 tỷ",107 m²,3,2
41090884,"·
Hà Đông, Hà Nội","32,86 tỷ",212 m²,4,5
42124687,"·
Hà Đông, Hà Nội",Giá thỏa thuận,200 m²,6,6
42124559,"·
Sơn Trà, Đà Nẵng","4,7 tỷ","77,3 m²",2,2
42123791,"·
Sơn Trà, Đà Nẵng",5 tỷ,70 m²,2,2
37347305,"·
Quận 7, Hồ Chí Minh","4,5 tỷ",67 m²,2,2
42118577,"·
Văn Giang, Hưng Yên",8 tỷ,"62,5 m²",8,5
42111743,"·
Văn Giang, Hưng Yên",10 tỷ,80 m²,8,5
42123584,"·
Long Biên, Hà Nội","2,8 tỷ",60 m²,2,1
42014848,"·
Gia Lâm, Hà Nội","4,5 tỷ",70 m²,2,2
42123481,"·
Văn Giang, Hưng Yên","10,5 tỷ",75 m²,0,0
42107874,"·
Văn Giang, Hưng Yên","7,2 tỷ",65 m²,8,6
42122760,"·
Gia Lâm, Hà Nội","3,9 tỷ",60 m²,2,2
42095553,"·
Quận 9, Hồ Chí Minh","2,48 tỷ",59 m²,2,2
42119122,"·
Đông Anh, Hà Nội",Giá thỏa thuận,75 m²,6,6
42088706,"·
Sơn Trà, Đà Nẵng","4,39 tỷ","77,9 m²",2,2
42120795,"·
Cần Đước, Long An",800 triệu,150 m²,0,0
40554187,"·
Sơn Trà, Đà Nẵng","4,57 tỷ",88 m²,3,2
41148908,"·
Sơn Trà, Đà Nẵng","4,84 tỷ",88 m²,3,2
42120514,"·
Hà Đông, Hà Nội",Giá thỏa thuận,54 m²,2,2
39302919,"·
Quận 7, Hồ Chí Minh","7,7 tỷ",162 m²,4,3
41920472,"·
Cầu Giấy, Hà Nội","48,96 tỷ",272 m²,0,0
42011553,"·
Văn Giang, Hưng Yên",Giá thỏa thuận,136 m²,0,0
42119980,"·
Đông Anh, Hà Nội","16,03 tỷ",63 m²,0,0
39722407,"·
Gia Lâm, Hà Nội",Giá thỏa thuận,43 m²,1,1
42119037,"·
Văn Giang, Hưng Yên","12,7 tỷ","87,5 m²",7,7
38623445,"·
Quận 2, Hồ Chí Minh",Giá thỏa thuận,74 m²,2,2
42118287,"·
Hà Đông, Hà Nội","7,7 tỷ",82 m²,2,2
42118274,"·
Hà Đông, Hà Nội",30 tỷ,120 m²,4,5
42118085,"·
Tây Hồ, Hà Nội",Giá thỏa thuận,"230,18 m²",0,0
38920091,"·
Bảo Lộc, Lâm Đồng",140 tỷ,29.235 m²,0,0
41950843,"·
Bình Thạnh, Hồ Chí Minh",10 tỷ,128 m²,3,2
42117901,"·
Văn Giang, Hưng Yên",9 tỷ,75 m²,5,5
42103373,"·
Đông Anh, Hà Nội",36 tỷ,130 m²,8,6
42093519,"·
Văn Giang, Hưng Yên","7,5 tỷ",65 m²,0,0
41837263,"·
Bình Thạnh, Hồ Chí Minh",9 tỷ,113 m²,2,2
41933387,"·
Bình Chánh, Hồ Chí Minh",88 tỷ,8.000 m²,0,0
42109787,"·
Đông Anh, Hà Nội",4 tỷ,54 m²,0,0
41411931,"·
Mê Linh, Hà Nội","8,2 tỷ",104 m²,4,3
42117470,"·
Đông Anh, Hà Nội",15 tỷ,63 m²,0,0
42117414,"·
Văn Giang, Hưng Yên",37 tỷ,188 m²,0,0
42116797,"·
Sơn Trà, Đà Nẵng","2,89 tỷ","52,3 m²",2,1
42116114,"·
Hà Đông, Hà Nội","34,5 tỷ","181,1 m²",1,0
42116639,"·
Tây Hồ, Hà Nội","30,5 tỷ",234 m²,4,4
41389455,"·
Phủ Lý, Hà Nam",6 tỷ,60 m²,6,6
40900845,"·
Bình Thạnh, Hồ Chí Minh","10,5 tỷ",115 m²,3,2
42085800,"·
Quận 2, Hồ Chí Minh","3,5 tỷ",81 m²,2,2
42045535,"·
Quận 7, Hồ Chí Minh","6,45 tỷ",100 m²,2,2
41945629,"·
Kim Bảng, Hà Nam",8 tỷ,120 m²,6,7
